it,error
0,1.374001815327285
1,1.4301107586445532
2,2.4439942017954976
3,1.2147366408805618
4,1.286923311513788
5,1.290386840101585
6,1.2741240170145278
7,1.2380849298596102
8,1.1860974914986075
9,1.127919763155194
10,1.0835411335866032
11,1.04142202862909
12,1.0462918844014328
13,1.0449566947286604
14,1.0417244970140689
15,0.9956734306180782
16,0.9846505304019475
17,0.9731656657189574
18,0.9685350346773943
19,0.9770147173076315
20,0.9740005888358603
21,0.9644703319074512
22,0.9558870234684002
23,0.9438770295069104
24,0.94175931205972
25,0.9222133447826963
26,0.9299917279707012
27,0.9274330660881456
28,0.918568964758057
29,0.9117950301145914
30,0.9080226066654313
31,0.9064251557801074
32,0.9097431656123544
33,0.9026081495826309
34,0.8999573369404926
35,0.9016704426882557
36,0.8946038947079501
37,0.8892860727594402
38,0.8862628136162203
39,0.8774956458688652
40,0.8799383202932263
41,0.8772672800206057
42,0.8767029033352839
43,0.879946463525306
44,0.870935002513628
45,0.8730275306191708
46,0.8727410931394212
47,0.8666706591587546
48,0.8749413839986102
49,0.8735776799288496
50,0.8644490609232407
51,0.8740619970480472
52,0.8626541657313878
53,0.8708100914985937
54,0.8682652619136461
55,0.8560707023382556
56,0.8670407405587679
57,0.8609106745713827
58,0.858332127791384
59,0.8506639523109444
60,0.8485714301582377
61,0.8513642157307508
62,0.8585624151024214
63,0.8579478697232623
64,0.8546537449877182
65,0.8560905106298725
66,0.8577576088208012
67,0.8511574596953744
68,0.8642991183610215
69,0.8500029434632322
70,0.8449915824675609
71,0.8592764124201778
72,0.8574560784287929
73,0.8529742110311426
74,0.8528633924365598
75,0.8524379145895876
76,0.8411065508083015
77,0.8496297616850341
78,0.8451857506013348
79,0.8447255719672914
80,0.8443236753389272
81,0.8512686830766505
82,0.8510350543006691
83,0.8383269042602218
84,0.8405497211854491
85,0.8400261375331967
86,0.84679060761186
87,0.8436276114203205
88,0.8387694561942163
89,0.8433648386697997
90,0.8404692899092276
91,0.842164101801874
92,0.8282960198009339
93,0.8417323319347477
94,0.8404918402790144
95,0.8461866202110553
96,0.836403961238536
97,0.8376013377930913
98,0.83707750576758
99,0.8459884835177697
100,0.8331498201572415
101,0.8412173075875403
102,0.8373387725434607
103,0.844459709877135
104,0.840627520328058
105,0.8466514405807073
106,0.8363651565884692
107,0.84297908865648
108,0.8340761842135757
109,0.8323603632368926
110,0.828761125462449
111,0.8351172777409371
112,0.835167892206296
113,0.834408089101048
114,0.836267374849501
115,0.837358928139865
116,0.8354520615574664
117,0.8414699788582087
118,0.8259373811204339
119,0.840326288300222
120,0.8398429905707204
121,0.8379451679381538
122,0.830226663770312
123,0.8334002890437232
124,0.8424766878311009
125,0.8297166370763981
126,0.8352510436035218
127,0.8360462141559465
128,0.8330235270336236
129,0.8251882872965528
130,0.8394192165488833
131,0.8339894680028276
132,0.8230085576972529
133,0.8293472123423595
134,0.832195847688663
135,0.8362518104180963
136,0.8317158822364527
137,0.8337140384449064
138,0.8350247651038837
139,0.8298962035591412
140,0.8252577011801892
141,0.8354558239054632
142,0.8337929172088547
143,0.8277747187904625
144,0.8300615442411924
145,0.823581782151643
146,0.8366614024104161
147,0.8334697527425612
148,0.8257395495034655
149,0.8372134903914483
150,0.82112702791777
151,0.8282020785095867
152,0.8316610909597361
153,0.8323759385007217
154,0.8354842380895607
155,0.8338108643763642
156,0.8231789294864982
157,0.8353729406448132
158,0.83303994684576
159,0.8282510525426827
160,0.8349276305913077
161,0.8225078515701224
162,0.8236825197514731
163,0.8309227060619618
164,0.8277171964495172
165,0.8294391325123197
166,0.8354989804482028
167,0.8303839994778913
168,0.8339746001647576
169,0.8230040317741621
170,0.8275843695260814
171,0.8255236965718725
172,0.8242563480012449
173,0.8265900151312466
174,0.8215877799713172
175,0.8304790239107385
176,0.8252107159150827
177,0.830058981003509
178,0.8393195449603011
179,0.8337468161684379
180,0.8239261944147297
181,0.8312174396065959
182,0.8377235204234569
183,0.8244723689754996
184,0.8257927399218258
185,0.8236771974434829
186,0.8269435852403516
187,0.8158817578274145
188,0.8306839478092244
189,0.8215737195319964
190,0.828535830056759
191,0.8183288216286799
192,0.8212046045947861
193,0.8320663421665954
194,0.8253483179137792
195,0.8338465822743134
196,0.8369244437901489
197,0.8303972486105415
198,0.8224988278275515
199,0.8274602025686114
